Fecha,WTI,JPM_Dollar_Index,BBDXY_Index,DXY_Index,VIX_Index,OPEP_TOTPROD,OPEP_TOTDEM,TBILL_10YR,TBILL_1YR
ene-12,107.07,100.74,973.57,78.737,18.43,31110,91.8,1.97,0.12
feb-12,103.02,98.439,978.6,79.004,15.5,31095,89.2,1.97,0.16
mar-12,104.87,97.949,973.92,78.776,17.15,31565,88.7,2.17,0.19
abr-12,86.53,91.266,1022.67,83.043,24.06,31610,89.7,2.05,0.18
may-12,84.96,93.45,1002.86,81.627,17.08,31538,91.4,1.80,0.19
jun-12,88.06,94.479,1005.97,82.635,18.93,31603,91,1.62,0.19
jul-12,96.47,94.188,994.89,81.208,17.47,31983,92,1.53,0.19
ago-12,92.19,96.31,980.84,79.935,15.73,31719,90.9,1.68,0.18
sep-12,86.24,95.397,983.61,79.919,18.6,31372,92.9,1.72,0.18
oct-12,88.91,95.179,985.94,80.153,15.87,31034,93.3,1.75,0.18
nov-12,91.82,95.694,986.48,79.769,18.02,30482,92.3,1.65,0.18
dic-12,97.49,96.561,988.08,79.207,14.28,30142,92.3,1.72,0.16
ene-13,92.05,95.783,1015.33,81.949,15.51,30164,92.5,1.91,0.15
feb-13,97.23,94.954,1020.11,82.976,12.7,30294,90.3,1.98,0.16
mar-13,93.46,95.916,1010.44,81.746,13.52,30476,91.6,1.96,0.15
abr-13,91.97,92.104,1037.73,83.375,16.3,30594,91.3,1.76,0.12
may-13,96.56,90.575,1040.55,83.136,16.86,30577,93,1.93,0.12
jun-13,105.03,89.927,1025.8,81.452,13.45,30594,93.8,2.30,0.14
jul-13,107.65,87.625,1034.4,82.087,17.01,30709,93.3,2.58,0.12
ago-13,102.33,89.897,1011.85,80.221,16.6,30253,92.4,2.74,0.13
sep-13,96.38,90.875,1011.72,80.195,13.75,29922,93.3,2.81,0.12
oct-13,92.72,88.87,1020.78,80.68,13.7,29658,93.8,2.62,0.12
nov-13,98.42,88.491,1019.41,80.035,13.72,29919,93.1,2.72,0.12
dic-13,97.49,85.387,1031.57,81.311,18.41,29768,91.8,2.90,0.13
ene-14,102.59,86.445,1016.74,79.691,14,30290,94.4,2.86,0.12
feb-14,101.58,87.802,1015.77,80.1,13.88,30045,91.9,2.71,0.12
mar-14,99.74,87.723,1008.01,79.474,13.41,29793,93,2.72,0.13
abr-14,102.71,88.652,1010.78,80.369,11.4,29825,91.3,2.71,0.11
may-14,105.37,88.494,1003.34,79.775,11.57,30206,94.2,2.56,0.10
jun-14,98.17,86.919,1021.93,81.456,16.95,30022,93.6,2.60,0.10
jul-14,95.96,86.35,1029.48,82.748,11.98,30402,93.7,2.54,0.11
ago-14,91.16,83.249,1070.94,85.936,16.31,30801,93.6,2.42,0.11
sep-14,80.54,83.535,1080.84,86.917,14.03,30864,94.3,2.53,0.11
oct-14,66.15,81.053,1106.9,88.356,13.33,30241,93.3,2.30,0.10
nov-14,53.27,77.749,1131.06,90.269,19.2,30302,95.9,2.33,0.13
dic-14,48.24,75.505,1167.89,94.804,20.97,30285,93.4,2.21,0.21
ene-15,49.76,75.705,1172.37,95.293,13.34,30428,95.8,1.88,0.20
feb-15,47.6,73.99,1200.68,98.357,15.29,31176,94,1.98,0.22
mar-15,59.63,75.847,1165.28,94.6,14.55,31392,94.4,2.04,0.25
abr-15,60.3,74.495,1191.94,96.907,13.84,31270,92.8,1.94,0.23
may-15,59.47,73.863,1180.77,95.485,18.23,32349,97,2.20,0.24
jun-15,47.12,71.449,1208.44,97.336,12.12,32088,96.4,2.36,0.28
jul-15,49.2,68.291,1206.82,95.824,28.43,32161,96.8,2.32,0.30
